episode_id,seed,condition,controller,detection_correct,detection_present,localization_error_m,task_complete,collision_free,safe_completion,goal_error_m,obstacle_contact_ticks,path_length_m,ticks,replans,semantic_wakes,detector_latency_ms
seed-6206-eval_x2-hierarchical,6206,EVAL_X2,HIERARCHICAL,True,True,0.01183771711085333,True,True,True,0.09986486761962006,0,2.5365439780411734,273,0,0,0.72
seed-6206-eval_x2-rgb_only,6206,EVAL_X2,RGB_ONLY,False,False,,False,False,False,1.365772703167819,267,1.038451013795797,300,0,0,0.35
seed-6206-eval_x2-rgbd_motion,6206,EVAL_X2,RGBD_MOTION,True,True,0.01183771711085333,True,True,True,0.09986486761962006,0,2.5365439780411734,273,0,0,0.72
seed-6206-no_obstacle-hierarchical,6206,NO_OBSTACLE,HIERARCHICAL,True,False,0.0,True,True,True,0.09788919916821054,0,2.298850655982263,134,0,0,0.72
seed-6206-no_obstacle-rgb_only,6206,NO_OBSTACLE,RGB_ONLY,True,False,0.0,True,True,True,0.09788919916821054,0,2.298850655982263,134,0,0,0.35
seed-6206-no_obstacle-rgbd_motion,6206,NO_OBSTACLE,RGBD_MOTION,True,False,0.0,True,True,True,0.09788919916821054,0,2.298850655982263,134,0,0,0.72
seed-6206-opaque-hierarchical,6206,OPAQUE,HIERARCHICAL,True,True,0.01183771711085333,True,True,True,0.09986486761962006,0,2.5365439780411734,273,0,0,0.72
seed-6206-opaque-rgb_only,6206,OPAQUE,RGB_ONLY,True,True,0.01183771711085333,True,True,True,0.09986486761962006,0,2.5365439780411734,273,0,0,0.35
seed-6206-opaque-rgbd_motion,6206,OPAQUE,RGBD_MOTION,True,True,0.01183771711085333,True,True,True,0.09986486761962006,0,2.5365439780411734,273,0,0,0.72
seed-6207-eval_x2-hierarchical,6207,EVAL_X2,HIERARCHICAL,True,True,0.005115752462530348,True,True,True,0.0992874464700138,0,2.597056351669139,275,0,0,0.72
seed-6207-eval_x2-rgb_only,6207,EVAL_X2,RGB_ONLY,False,False,,False,False,False,1.3918151103815493,267,1.0606449335744028,300,0,0,0.35
seed-6207-eval_x2-rgbd_motion,6207,EVAL_X2,RGBD_MOTION,True,True,0.005115752462530348,True,True,True,0.0992874464700138,0,2.597056351669139,275,0,0,0.72
seed-6207-no_obstacle-hierarchical,6207,NO_OBSTACLE,HIERARCHICAL,True,False,0.0,True,True,True,0.09789969335956389,0,2.2991776751580835,134,0,0,0.72
seed-6207-no_obstacle-rgb_only,6207,NO_OBSTACLE,RGB_ONLY,True,False,0.0,True,True,True,0.09789969335956389,0,2.2991776751580835,134,0,0,0.35
seed-6207-no_obstacle-rgbd_motion,6207,NO_OBSTACLE,RGBD_MOTION,True,False,0.0,True,True,True,0.09789969335956389,0,2.2991776751580835,134,0,0,0.72
seed-6207-opaque-hierarchical,6207,OPAQUE,HIERARCHICAL,True,True,0.005115752462530348,True,True,True,0.0992874464700138,0,2.597056351669139,275,0,0,0.72
seed-6207-opaque-rgb_only,6207,OPAQUE,RGB_ONLY,True,True,0.011504861648673812,True,True,True,0.0992874464700138,0,2.597056351669139,275,0,0,0.35
seed-6207-opaque-rgbd_motion,6207,OPAQUE,RGBD_MOTION,True,True,0.005115752462530348,True,True,True,0.0992874464700138,0,2.597056351669139,275,0,0,0.72
seed-6208-eval_x2-hierarchical,6208,EVAL_X2,HIERARCHICAL,True,True,0.009688997330258142,True,True,True,0.09985929089025417,0,2.573893279136178,274,0,0,0.72
seed-6208-eval_x2-rgb_only,6208,EVAL_X2,RGB_ONLY,False,False,,False,False,False,1.4544685125367551,269,0.9805029571544273,300,0,0,0.35
seed-6208-eval_x2-rgbd_motion,6208,EVAL_X2,RGBD_MOTION,True,True,0.009688997330258142,True,True,True,0.09985929089025417,0,2.573893279136178,274,0,0,0.72
seed-6208-no_obstacle-hierarchical,6208,NO_OBSTACLE,HIERARCHICAL,True,False,0.0,True,True,True,0.09786732928477512,0,2.298169075228352,134,0,0,0.72
seed-6208-no_obstacle-rgb_only,6208,NO_OBSTACLE,RGB_ONLY,True,False,0.0,True,True,True,0.09786732928477512,0,2.298169075228352,134,0,0,0.35
seed-6208-no_obstacle-rgbd_motion,6208,NO_OBSTACLE,RGBD_MOTION,True,False,0.0,True,True,True,0.09786732928477512,0,2.298169075228352,134,0,0,0.72
seed-6208-opaque-hierarchical,6208,OPAQUE,HIERARCHICAL,True,True,0.009688997330258142,True,True,True,0.09985929089025417,0,2.573893279136178,274,0,0,0.72
seed-6208-opaque-rgb_only,6208,OPAQUE,RGB_ONLY,True,True,0.009688997330258142,True,True,True,0.09985929089025417,0,2.573893279136178,274,0,0,0.35
seed-6208-opaque-rgbd_motion,6208,OPAQUE,RGBD_MOTION,True,True,0.009688997330258142,True,True,True,0.09985929089025417,0,2.573893279136178,274,0,0,0.72
seed-6209-eval_x2-hierarchical,6209,EVAL_X2,HIERARCHICAL,True,True,0.010194931393174948,True,True,True,0.09891658856890673,0,2.5836160330385343,274,0,0,0.72
seed-6209-eval_x2-rgb_only,6209,EVAL_X2,RGB_ONLY,False,False,,False,False,False,1.4512553975707743,269,0.978257588592306,300,0,0,0.35
seed-6209-eval_x2-rgbd_motion,6209,EVAL_X2,RGBD_MOTION,True,True,0.010194931393174948,True,True,True,0.09891658856890673,0,2.5836160330385343,274,0,0,0.72
seed-6209-no_obstacle-hierarchical,6209,NO_OBSTACLE,HIERARCHICAL,True,False,0.0,True,True,True,0.09787582133729772,0,2.298433744060434,134,0,0,0.72
seed-6209-no_obstacle-rgb_only,6209,NO_OBSTACLE,RGB_ONLY,True,False,0.0,True,True,True,0.09787582133729772,0,2.298433744060434,134,0,0,0.35
seed-6209-no_obstacle-rgbd_motion,6209,NO_OBSTACLE,RGBD_MOTION,True,False,0.0,True,True,True,0.09787582133729772,0,2.298433744060434,134,0,0,0.72
seed-6209-opaque-hierarchical,6209,OPAQUE,HIERARCHICAL,True,True,0.010194931393174948,True,True,True,0.09891658856890673,0,2.5836160330385343,274,0,0,0.72
seed-6209-opaque-rgb_only,6209,OPAQUE,RGB_ONLY,True,True,0.015364154245291237,True,True,True,0.09981722987147242,0,2.5833017713863917,274,0,0,0.35
seed-6209-opaque-rgbd_motion,6209,OPAQUE,RGBD_MOTION,True,True,0.010194931393174948,True,True,True,0.09891658856890673,0,2.5836160330385343,274,0,0,0.72
seed-6210-eval_x2-hierarchical,6210,EVAL_X2,HIERARCHICAL,True,True,0.0021960763239219755,True,True,True,0.09993847495425283,0,2.587981223438723,274,0,0,0.72
seed-6210-eval_x2-rgb_only,6210,EVAL_X2,RGB_ONLY,False,False,,False,False,False,1.3627887401270922,266,1.0987972477760501,300,0,0,0.35
seed-6210-eval_x2-rgbd_motion,6210,EVAL_X2,RGBD_MOTION,True,True,0.0021960763239219755,True,True,True,0.09993847495425283,0,2.587981223438723,274,0,0,0.72
seed-6210-no_obstacle-hierarchical,6210,NO_OBSTACLE,HIERARCHICAL,True,False,0.0,True,True,True,0.09788537223637443,0,2.2987313957690794,134,0,0,0.72
seed-6210-no_obstacle-rgb_only,6210,NO_OBSTACLE,RGB_ONLY,True,False,0.0,True,True,True,0.09788537223637443,0,2.2987313957690794,134,0,0,0.35
seed-6210-no_obstacle-rgbd_motion,6210,NO_OBSTACLE,RGBD_MOTION,True,False,0.0,True,True,True,0.09788537223637443,0,2.2987313957690794,134,0,0,0.72
seed-6210-opaque-hierarchical,6210,OPAQUE,HIERARCHICAL,True,True,0.0021960763239219755,True,True,True,0.09993847495425283,0,2.587981223438723,274,0,0,0.72
