storage_variant,trigger_variant,disturbance_family,severity,horizon,episode_count,completion_mean,progress_mean,repeated_failures_mean,false_triggers_mean,late_trigger_ticks_mean,wasted_triggers_mean,semantic_wakes_mean,motion_wakes_mean,control_wakes_mean,semantic_latency_proxy_ms_mean,motion_latency_proxy_ms_mean,control_latency_proxy_ms_mean,trigger_latency_ticks_mean_mean,stale_decisions_mean,retries_mean,escalations_mean,aborts_mean,storage_reads_mean,storage_writes_mean,storage_bytes_mean,storage_age_ticks_mean,budget_cost_proxy_mean
EPISODIC_ONLY,FAILURE_THRESHOLD,POSE_SHIFT,LOW,12,20,1.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,0.4624145,0.24,0.08,2.0,2.0,2.0,1.0,0.0,2.0,3.0,241.45,7.0,32.33579115
EPISODIC_ONLY,FAILURE_THRESHOLD,RESTRICTION_CHANGE,HIGH,4,20,1.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,0.46308,0.24,0.08,2.0,2.0,2.0,1.0,0.0,2.0,4.0,308.0,3.0,32.400781
EPISODIC_ONLY,FAILURE_THRESHOLD,RESTRICTION_CHANGE,HIGH,8,20,1.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,0.46308,0.24,0.08,2.0,2.0,2.0,1.0,0.0,2.0,4.0,308.0,5.0,32.400781
EPISODIC_ONLY,FAILURE_THRESHOLD,RESTRICTION_CHANGE,HIGH,12,20,1.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,0.46308,0.24,0.08,2.0,2.0,2.0,1.0,0.0,2.0,4.0,308.0,7.0,32.400781
EPISODIC_ONLY,FAILURE_THRESHOLD,RESTRICTION_CHANGE,LOW,4,20,1.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,0.46232,0.24,0.08,2.0,2.0,2.0,1.0,0.0,2.0,3.0,232.0,3.0,32.326563
EPISODIC_ONLY,FAILURE_THRESHOLD,RESTRICTION_CHANGE,LOW,8,20,1.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,0.46232,0.24,0.08,2.0,2.0,2.0,1.0,0.0,2.0,3.0,232.0,5.0,32.326563
EPISODIC_ONLY,FAILURE_THRESHOLD,RESTRICTION_CHANGE,LOW,12,20,1.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,0.46232,0.24,0.08,2.0,2.0,2.0,1.0,0.0,2.0,3.0,232.0,7.0,32.326563
EPISODIC_ONLY,HYBRID,AVAILABILITY_LOSS,HIGH,4,20,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.46176,0.24,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,176.0,2.0,28.271875
EPISODIC_ONLY,HYBRID,AVAILABILITY_LOSS,HIGH,8,20,1.0,1.0,0.0,2.0,1.0,2.0,4.0,2.0,1.0,0.92253,0.24,0.04,1.0,1.0,1.0,0.0,0.0,4.0,3.0,253.0,5.0,50.44707
EPISODIC_ONLY,HYBRID,AVAILABILITY_LOSS,HIGH,12,20,1.0,1.0,0.0,3.0,0.0,3.0,5.0,2.0,0.0,1.15176,0.24,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,176.0,6.0,58.421875
EPISODIC_ONLY,HYBRID,AVAILABILITY_LOSS,LOW,4,20,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.46089,0.24,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,89.0,2.0,28.186914
EPISODIC_ONLY,HYBRID,AVAILABILITY_LOSS,LOW,8,20,1.0,1.0,0.0,2.0,1.0,2.0,4.0,2.0,1.0,0.92166,0.24,0.04,1.0,1.0,1.0,0.0,0.0,4.0,2.0,166.0,5.0,50.362109
EPISODIC_ONLY,HYBRID,AVAILABILITY_LOSS,LOW,12,20,1.0,1.0,0.0,3.0,0.0,3.0,5.0,2.0,0.0,1.15089,0.24,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,89.0,6.0,58.336914
EPISODIC_ONLY,HYBRID,CONTROL_FAILURE,HIGH,4,20,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.46079,0.24,0.04,1.0,0.0,1.0,0.0,0.0,2.0,1.0,79.0,3.0,30.177148
EPISODIC_ONLY,HYBRID,CONTROL_FAILURE,HIGH,8,20,1.0,1.0,0.0,2.0,1.0,2.0,4.0,2.0,1.0,0.92079,0.24,0.04,1.0,0.0,1.0,0.0,0.0,4.0,1.0,79.0,5.0,50.277148
EPISODIC_ONLY,HYBRID,CONTROL_FAILURE,HIGH,12,20,1.0,1.0,1.0,3.0,1.0,3.0,5.0,2.0,2.0,1.15156,0.24,0.08,2.0,0.0,2.0,0.0,0.0,5.0,2.0,156.0,7.0,62.402344
EPISODIC_ONLY,HYBRID,CONTROL_FAILURE,LOW,4,20,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.46079,0.24,0.04,1.0,0.0,1.0,0.0,0.0,2.0,1.0,79.0,3.0,30.177148
EPISODIC_ONLY,HYBRID,CONTROL_FAILURE,LOW,8,20,1.0,1.0,0.0,2.0,1.0,2.0,4.0,2.0,1.0,0.92079,0.24,0.04,1.0,0.0,1.0,0.0,0.0,4.0,1.0,79.0,5.0,50.277148
EPISODIC_ONLY,HYBRID,CONTROL_FAILURE,LOW,12,20,1.0,1.0,0.0,4.0,1.0,3.0,5.0,2.0,1.0,1.15079,0.24,0.04,2.0,0.0,1.0,0.0,0.0,5.0,1.0,79.0,7.0,60.327148
EPISODIC_ONLY,HYBRID,POSE_SHIFT,HIGH,4,20,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.4608765,0.24,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,87.65,2.0,28.18559585
EPISODIC_ONLY,HYBRID,POSE_SHIFT,HIGH,8,20,1.0,1.0,0.0,2.0,1.0,2.0,4.0,2.0,1.0,0.9216465,0.24,0.04,1.0,1.0,1.0,0.0,0.0,4.0,2.0,164.65,5.0,50.36079095
EPISODIC_ONLY,HYBRID,POSE_SHIFT,HIGH,12,20,1.0,1.0,0.0,3.0,0.0,3.0,5.0,2.0,0.0,1.1508765,0.24,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,87.65,6.0,58.33559585
EPISODIC_ONLY,HYBRID,POSE_SHIFT,LOW,4,20,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.4608745,0.24,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,87.45,2.0,28.18540065
EPISODIC_ONLY,HYBRID,POSE_SHIFT,LOW,8,20,1.0,1.0,0.0,2.0,1.0,2.0,4.0,2.0,1.0,0.9216445,0.24,0.04,1.0,1.0,1.0,0.0,0.0,4.0,2.0,164.45,5.0,50.3605957
EPISODIC_ONLY,HYBRID,POSE_SHIFT,LOW,12,20,1.0,1.0,0.0,3.0,0.0,3.0,5.0,2.0,0.0,1.1508745,0.24,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,87.45,6.0,58.33540065
EPISODIC_ONLY,HYBRID,RESTRICTION_CHANGE,HIGH,4,20,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.46154,0.24,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,154.0,2.0,28.250391
EPISODIC_ONLY,HYBRID,RESTRICTION_CHANGE,HIGH,8,20,1.0,1.0,0.0,2.0,1.0,2.0,4.0,2.0,1.0,0.92231,0.24,0.04,1.0,1.0,1.0,0.0,0.0,4.0,3.0,231.0,5.0,50.425586
EPISODIC_ONLY,HYBRID,RESTRICTION_CHANGE,HIGH,12,20,1.0,1.0,0.0,3.0,0.0,3.0,5.0,2.0,0.0,1.15154,0.24,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,154.0,6.0,58.400391
EPISODIC_ONLY,HYBRID,RESTRICTION_CHANGE,LOW,4,20,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.46078,0.24,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,78.0,2.0,28.176172
EPISODIC_ONLY,HYBRID,RESTRICTION_CHANGE,LOW,8,20,1.0,1.0,0.0,2.0,1.0,2.0,4.0,2.0,1.0,0.92155,0.24,0.04,1.0,1.0,1.0,0.0,0.0,4.0,2.0,155.0,5.0,50.351367
