storage_variant,trigger_policy,quality_id,effective_n,estimate,ci_low,ci_high,draw_indices_sha256
LIVE_EPISODIC,EVENT_DRIVEN,Q08_GUARDED,12,0.812336,0.770833,0.857639,13659395c192ce864a9f3642f9430d3914b35b42bc5891043a58a4c0e70bdf8c
LIVE_EPISODIC,EVENT_DRIVEN,Q09_HOSTILE,12,0.659691,0.600694,0.71875,ac27a9c83377a86f68c2848aa6b792b42ff7db535ba66de097996901dae6fea0
LIVE_EPISODIC,FAILURE_THRESHOLD,Q00_CLEAN,12,1.0,1.0,1.0,0fe417f31b6eaa443d9076d3196de0df98e8a573bab0ca262444bee4d238b1ea
LIVE_EPISODIC,FAILURE_THRESHOLD,Q01_RECALL75,12,1.0,1.0,1.0,0ef691f6aa70c2b9bd87e3fc1e51d85593566467856ce388f66868ac41f9cb61
LIVE_EPISODIC,FAILURE_THRESHOLD,Q02_RECALL50,12,1.0,1.0,1.0,6d34673691b9362e7b2118a6452bdba36007cbfc63f39ad25aac21a1c5ba5003
LIVE_EPISODIC,FAILURE_THRESHOLD,Q03_RECALL25,12,1.0,1.0,1.0,ced867dbec7a22ec7fdf24a2da2f6dc4212926be370033c161b8eb78c6048b57
LIVE_EPISODIC,FAILURE_THRESHOLD,Q04_DELAY1,12,1.0,1.0,1.0,258c261c0fb47d1b52ca36133d29dfcb771b01a604d7880326ee21127d628a6c
LIVE_EPISODIC,FAILURE_THRESHOLD,Q05_DELAY3,12,1.0,1.0,1.0,6c9d586514b842af38092c39b0dbbb5196025c3332e30a3328cc073204dcf2be
LIVE_EPISODIC,FAILURE_THRESHOLD,Q06_FALSE3,12,1.0,1.0,1.0,4b9e36138b1270ed8051698636894b78ed1a701fc4c5efb2388b2b6372ff3ebb
LIVE_EPISODIC,FAILURE_THRESHOLD,Q07_DUP_OOO,12,1.0,1.0,1.0,074e9e1e330a8299e0eb55c3d8d7663b070ba9d0f3b9844c6801f9af7211b051
LIVE_EPISODIC,FAILURE_THRESHOLD,Q08_GUARDED,12,1.0,1.0,1.0,a4a0fb033a6589d751603a3e83b26f4e22ca5e1e7334d160611498e76d61902f
LIVE_EPISODIC,FAILURE_THRESHOLD,Q09_HOSTILE,12,1.0,1.0,1.0,22694547d37f520ddd604e3d3e09914629c48806f54b7f91d894657d836f9981
LIVE_EPISODIC,HYBRID,Q00_CLEAN,12,1.0,1.0,1.0,a1cfdc04845d3040e933384e56f53e4f9c9dc6cca5163f9a0fd9a257df6c4c24
LIVE_EPISODIC,HYBRID,Q01_RECALL75,12,1.0,1.0,1.0,fe243199bb6fb22314525f7c287bfaa5883eb4f90f996da8dcadb18ea5030232
LIVE_EPISODIC,HYBRID,Q02_RECALL50,12,1.0,1.0,1.0,721e746dc731211dbb4ae12a266379e9389218c3484e5bfc8bd6b80b20f85a1c
LIVE_EPISODIC,HYBRID,Q03_RECALL25,12,1.0,1.0,1.0,0fedcae609a84e675db28d9fc54011f0162843748edc9cb13b8a5cdd244d75f3
LIVE_EPISODIC,HYBRID,Q04_DELAY1,12,1.0,1.0,1.0,4fd9386ab34d66a6c60b3000b533a4b6571d4dce0924a78d0e7e9159a2ebd178
LIVE_EPISODIC,HYBRID,Q05_DELAY3,12,1.0,1.0,1.0,99b1b219e02c871fb7d5073efb060fa2c91b1e87ce145d19423a5925af8f9485
LIVE_EPISODIC,HYBRID,Q06_FALSE3,12,1.0,1.0,1.0,3eb842b5dc6262df1953778d03a80e37d150954e779ab6b1bbf82224d47733a6
LIVE_EPISODIC,HYBRID,Q07_DUP_OOO,12,1.0,1.0,1.0,7875329ada61bca1b6046525dfc86ff6795b7abf0348d32ec766b05878f50db3
LIVE_EPISODIC,HYBRID,Q08_GUARDED,12,1.0,1.0,1.0,2e881d17a71611bec0978bf80944c722beda967b63187f8ae040ec87f5b12c19
LIVE_EPISODIC,HYBRID,Q09_HOSTILE,12,0.75,0.75,0.75,39bfdf280fe3876b663c2053ddd47378b16fc3cab1d1ce39aee85b42309b84bb
LIVE_EPISODIC,PERIODIC_ONLY,Q00_CLEAN,12,1.0,1.0,1.0,a1a6726f0328ee399a6c39d92bd69fab9faf8ac1430be8bcdc834eb25cfa6635
LIVE_EPISODIC,PERIODIC_ONLY,Q01_RECALL75,12,1.0,1.0,1.0,8bd5c0f240ea1e26537b6deccb5e92cd8de57fa3d68b1c3713501d6304b9feb6
LIVE_EPISODIC,PERIODIC_ONLY,Q02_RECALL50,12,1.0,1.0,1.0,e4a3247b54ffe989017ad62c6a65ddd1e0f3ea01a6d09c7c8b983e6325cb2706
LIVE_EPISODIC,PERIODIC_ONLY,Q03_RECALL25,12,1.0,1.0,1.0,043ef58c97887ee66e31501be21c140d1ca06e776272e26f53d4d8aa6e1dd5d4
LIVE_EPISODIC,PERIODIC_ONLY,Q04_DELAY1,12,1.0,1.0,1.0,a57941c208914294b74f66fa6a5cfa5a0ec32d9dda10feed00158ef3ef266c55
LIVE_EPISODIC,PERIODIC_ONLY,Q05_DELAY3,12,1.0,1.0,1.0,07e7b0fcceea169c1d5faeef52de9b1b47cde51cfd3a99a02a517e0c03aece7b
LIVE_EPISODIC,PERIODIC_ONLY,Q06_FALSE3,12,1.0,1.0,1.0,a65d79e0d763b4e5003ced45f6439fdc58dff4b84fae177867be08791ab5b111
LIVE_EPISODIC,PERIODIC_ONLY,Q07_DUP_OOO,12,1.0,1.0,1.0,1beb3f4c448f1fd84fdd0649be7472ec24d713f04a29d8827710102de27704f3
LIVE_EPISODIC,PERIODIC_ONLY,Q08_GUARDED,12,1.0,1.0,1.0,d42a50fe9c09866b144af1ad9a84b080333758d4be855a487e5e3f3faa7d62fa
LIVE_EPISODIC,PERIODIC_ONLY,Q09_HOSTILE,12,0.5,0.5,0.5,d05ce1d522e3db101be36fdaf092059f14bf288a8a0a3f0c5a6e436ecc49432a
