disturbance_family,effect_id,effective_seed_n,estimate,metric
CONTROL_FAILURE,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__EVENT_DRIVEN__VERBOSE_TYPED,12,-0.16944444,cost_proxy
POSE_SHIFT,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__HYBRID__COMPACT_TYPED,12,0.27083333,completion
POSE_SHIFT,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__HYBRID__COMPACT_TYPED,12,2.11111111,progress
POSE_SHIFT,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__HYBRID__COMPACT_TYPED,12,-9.03055556,cost_proxy
AVAILABILITY_LOSS,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__HYBRID__COMPACT_TYPED,12,0.22083333,completion
AVAILABILITY_LOSS,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__HYBRID__COMPACT_TYPED,12,1.71805556,progress
AVAILABILITY_LOSS,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__HYBRID__COMPACT_TYPED,12,-7.32777778,cost_proxy
RESTRICTION_CHANGE,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__HYBRID__COMPACT_TYPED,12,0.22361111,completion
RESTRICTION_CHANGE,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__HYBRID__COMPACT_TYPED,12,1.78194444,progress
RESTRICTION_CHANGE,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__HYBRID__COMPACT_TYPED,12,-7.56388889,cost_proxy
CONTROL_FAILURE,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__HYBRID__COMPACT_TYPED,12,0.0,completion
CONTROL_FAILURE,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__HYBRID__COMPACT_TYPED,12,0.44027778,progress
CONTROL_FAILURE,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__HYBRID__COMPACT_TYPED,12,-2.28055556,cost_proxy
POSE_SHIFT,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__HYBRID__VERBOSE_TYPED,12,0.27083333,completion
