episode_id,seed,condition,controller,detection_correct,detection_present,localization_error_m,task_complete,collision_free,safe_completion,goal_error_m,obstacle_contact_ticks,path_length_m,ticks,replans,semantic_wakes,detector_latency_ms
seed-7206-eval_x3-rgbd_motion,7206,EVAL_X3,RGBD_MOTION,True,True,0.01963323843772227,True,True,True,0.09773934281736502,0,2.5535088609276775,274,0,0,0.72
seed-7206-no_obstacle-hierarchical,7206,NO_OBSTACLE,HIERARCHICAL,True,False,0.0,True,True,True,0.09786739976111529,0,2.2981712718012304,134,0,0,0.72
seed-7206-no_obstacle-rgb_only,7206,NO_OBSTACLE,RGB_ONLY,True,False,0.0,True,True,True,0.09786739976111529,0,2.2981712718012304,134,0,0,0.35
seed-7206-no_obstacle-rgbd_motion,7206,NO_OBSTACLE,RGBD_MOTION,True,False,0.0,True,True,True,0.09786739976111529,0,2.2981712718012304,134,0,0,0.72
seed-7206-opaque-hierarchical,7206,OPAQUE,HIERARCHICAL,True,True,0.01963323843772227,True,True,True,0.09773934281736502,0,2.5535088609276775,274,0,0,0.72
seed-7206-opaque-rgb_only,7206,OPAQUE,RGB_ONLY,True,True,0.009731991930007428,True,True,True,0.09863478385482874,0,2.552311048671637,273,0,0,0.35
seed-7206-opaque-rgbd_motion,7206,OPAQUE,RGBD_MOTION,True,True,0.01963323843772227,True,True,True,0.09773934281736502,0,2.5535088609276775,274,0,0,0.72
seed-7207-eval_x3-hierarchical,7207,EVAL_X3,HIERARCHICAL,True,True,0.016524257799468266,True,True,True,0.09954381490197374,0,2.5782498005084866,274,0,0,0.72
seed-7207-eval_x3-rgb_only,7207,EVAL_X3,RGB_ONLY,False,False,,False,False,False,1.3335201703096498,266,1.0717750094071254,300,0,0,0.35
seed-7207-eval_x3-rgbd_motion,7207,EVAL_X3,RGBD_MOTION,True,True,0.016524257799468266,True,True,True,0.09954381490197374,0,2.5782498005084866,274,0,0,0.72
seed-7207-no_obstacle-hierarchical,7207,NO_OBSTACLE,HIERARCHICAL,True,False,0.0,True,True,True,0.09787147473244158,0,2.2982982768109714,134,0,0,0.72
seed-7207-no_obstacle-rgb_only,7207,NO_OBSTACLE,RGB_ONLY,True,False,0.0,True,True,True,0.09787147473244158,0,2.2982982768109714,134,0,0,0.35
seed-7207-no_obstacle-rgbd_motion,7207,NO_OBSTACLE,RGBD_MOTION,True,False,0.0,True,True,True,0.09787147473244158,0,2.2982982768109714,134,0,0,0.72
seed-7207-opaque-hierarchical,7207,OPAQUE,HIERARCHICAL,True,True,0.016524257799468266,True,True,True,0.09954381490197374,0,2.5782498005084866,274,0,0,0.72
seed-7207-opaque-rgb_only,7207,OPAQUE,RGB_ONLY,True,True,0.016524257799468266,True,True,True,0.09954381490197374,0,2.5782498005084866,274,0,0,0.35
seed-7207-opaque-rgbd_motion,7207,OPAQUE,RGBD_MOTION,True,True,0.016524257799468266,True,True,True,0.09954381490197374,0,2.5782498005084866,274,0,0,0.72
seed-7208-eval_x3-hierarchical,7208,EVAL_X3,HIERARCHICAL,True,True,0.007687195676411563,True,True,True,0.09768730555606142,0,2.594383162653228,275,0,0,0.72
seed-7208-eval_x3-rgb_only,7208,EVAL_X3,RGB_ONLY,False,False,,False,False,False,1.3964871287993523,267,1.0648602405651797,300,0,0,0.35
seed-7208-eval_x3-rgbd_motion,7208,EVAL_X3,RGBD_MOTION,True,True,0.007687195676411563,True,True,True,0.09768730555606142,0,2.594383162653228,275,0,0,0.72
seed-7208-no_obstacle-hierarchical,7208,NO_OBSTACLE,HIERARCHICAL,True,False,0.0,True,True,True,0.09789158188233917,0,2.298924907930676,134,0,0,0.72
seed-7208-no_obstacle-rgb_only,7208,NO_OBSTACLE,RGB_ONLY,True,False,0.0,True,True,True,0.09789158188233917,0,2.298924907930676,134,0,0,0.35
seed-7208-no_obstacle-rgbd_motion,7208,NO_OBSTACLE,RGBD_MOTION,True,False,0.0,True,True,True,0.09789158188233917,0,2.298924907930676,134,0,0,0.72
seed-7208-opaque-hierarchical,7208,OPAQUE,HIERARCHICAL,True,True,0.007687195676411563,True,True,True,0.09768730555606142,0,2.594383162653228,275,0,0,0.72
seed-7208-opaque-rgb_only,7208,OPAQUE,RGB_ONLY,True,True,0.007687195676411563,True,True,True,0.09768730555606142,0,2.594383162653228,275,0,0,0.35
