comparison_metric,seed,member_count,cluster_mean,members_json
R3-R0:total_wakes,20262304,11,-0.6363636363636364,"[0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0]"
R3-R0:total_wakes,20262305,12,-0.5833333333333334,"[0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0]"
R3-R0:total_wakes,20262306,12,-0.5833333333333334,"[0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0]"
R3-R0:total_wakes,20262307,12,-0.5,"[0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0]"
R3-R0:total_wakes,20262308,12,-0.5833333333333334,"[0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0]"
R3-R0:total_wakes,20262309,11,-0.6363636363636364,"[0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0]"
R3-R0:total_wakes,20262310,12,-0.5,"[0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0]"
R3-R1:mission_success,20262301,12,0.25,"[0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:mission_success,20262302,12,0.25,"[0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:mission_success,20262303,11,0.18181818181818182,"[0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:mission_success,20262304,11,0.2727272727272727,"[0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:mission_success,20262305,12,0.25,"[0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:mission_success,20262306,12,0.25,"[0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:mission_success,20262307,12,0.25,"[0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:mission_success,20262308,12,0.25,"[0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:mission_success,20262309,11,0.2727272727272727,"[1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:mission_success,20262310,12,0.25,"[0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:safety_composite,20262301,12,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:safety_composite,20262302,12,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:safety_composite,20262303,11,0.09090909090909091,"[0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:safety_composite,20262304,11,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:safety_composite,20262305,12,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:safety_composite,20262306,12,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:safety_composite,20262307,12,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:safety_composite,20262308,12,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:safety_composite,20262309,11,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:safety_composite,20262310,12,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:progress,20262301,12,0.23976361139384614,"[2.3477014199357882e-07,0.9999970319676491,0.0,5.301128446211223e-07,0.9324644868119504,0.9447010296709382,1.819629413812862e-08,5.196335028934129e-09,0.0,0.0,0.0,0.0]"
R3-R1:progress,20262302,12,0.23944655050451089,"[4.3122194082201304e-07,0.999996962920374,0.0,-7.861571837963766e-08,0.919519555539194,0.9538415500868018,1.9653688565490768e-08,1.652478496261267e-07,0.0,0.0,0.0,0.0]"
R3-R1:progress,20262303,11,0.18117126922446913,"[1.7914149830211556e-08,0.9999967554126359,0.0,0.9364064831052722,0.05648056577098781,-5.5245883756604997e-08,1.9451199850806233e-07,0.0,0.0,0.0,0.0]"
R3-R1:progress,20262304,11,0.2628666893936371,"[-2.828962872847285e-07,0.9999974847839413,0.0,0.9476028466151369,0.9439340292819676,-1.0200332889453989e-07,-3.924514213604624e-07,0.0,0.0,0.0,0.0]"
R3-R1:progress,20262305,12,0.24165110830775802,"[-1.9828119146581002e-07,0.9999961083540255,0.0,2.2782524711217889e-07,0.9485817131434633,0.951235254977009,2.2072195993150245e-07,-2.7047417416881103e-08,0.0,0.0,0.0,0.0]"
R3-R1:progress,20262306,12,0.24071427004258847,"[-3.30741745102614e-09,0.9999978975397043,0.0,1.2592046283455005e-07,0.9544589925511395,0.934113467055815,1.4136699399980301e-07,6.193843634649809e-07,0.0,0.0,0.0,0.0]"
R3-R1:progress,20262307,12,0.23875045565236763,"[-1.8955897584937986e-07,0.9999977601963496,0.0,1.4977021522977196e-07,0.9292552332159496,0.9357519181347087,6.205342101273104e-07,-2.446404545608516e-08,0.0,0.0,0.0,0.0]"
R3-R1:progress,20262308,12,0.24094695419909928,"[2.693553915467106e-07,0.9999972580338078,0.0,1.1442922401849742e-06,0.9484849888472067,0.9428797131623484,2.2483759143376858e-07,-1.4813939464008996e-07,0.0,0.0,0.0,0.0]"
R3-R1:progress,20262309,11,0.26150854280955793,"[0.9999977104441935,0.0,-1.30241196050207e-07,0.9438658948906603,0.9327303440679667,-4.478189996603987e-08,1.9652541316528271e-07,0.0,0.0,0.0,0.0]"
R3-R1:progress,20262310,12,0.24052561008769568,"[3.2540290983984477e-07,0.9999977044379524,0.0,-2.9221184383310117e-07,0.9399104328911734,0.9463993308269901,-1.325799119378246e-07,-4.771492190247528e-08,0.0,0.0,0.0,0.0]"
R3-R1:total_wakes,20262301,12,0.16666666666666666,"[0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:total_wakes,20262302,12,0.25,"[0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:total_wakes,20262303,11,0.2727272727272727,"[0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:total_wakes,20262304,11,0.18181818181818182,"[0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:total_wakes,20262305,12,0.16666666666666666,"[0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:total_wakes,20262306,12,0.16666666666666666,"[0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:total_wakes,20262307,12,0.25,"[0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:total_wakes,20262308,12,0.16666666666666666,"[0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:total_wakes,20262309,11,0.18181818181818182,"[1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:total_wakes,20262310,12,0.25,"[0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R2:mission_success,20262301,12,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R2:mission_success,20262302,12,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R2:mission_success,20262303,11,-0.09090909090909091,"[0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R2:mission_success,20262304,11,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R2:mission_success,20262305,12,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R2:mission_success,20262306,12,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
