bootstrap_draws,candidate,comparator,contrast,effective_seed_n,estimate,metric,q025,q975,seed_cluster_sha256
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__EVENT_DRIVEN,20,0.75,completion,0.75,0.75,2a7e18d34c29c0d72a184b51ebbbf6fcc79750e921bca27f65f96b4ed35f9b0c
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__EVENT_DRIVEN,20,0.48958325,progress,0.48958325,0.48958325,2a7e18d34c29c0d72a184b51ebbbf6fcc79750e921bca27f65f96b4ed35f9b0c
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__EVENT_DRIVEN,20,0.0,late_trigger_ticks,0.0,0.0,2a7e18d34c29c0d72a184b51ebbbf6fcc79750e921bca27f65f96b4ed35f9b0c
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__EVENT_DRIVEN,20,-7.25,wasted_triggers,-7.25,-7.25,2a7e18d34c29c0d72a184b51ebbbf6fcc79750e921bca27f65f96b4ed35f9b0c
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__EVENT_DRIVEN,20,-72.70002454,budget_cost_proxy,-72.70013431,-72.69991474,2a7e18d34c29c0d72a184b51ebbbf6fcc79750e921bca27f65f96b4ed35f9b0c
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__HYBRID,20,0.75,completion,0.75,0.75,2a7e18d34c29c0d72a184b51ebbbf6fcc79750e921bca27f65f96b4ed35f9b0c
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__HYBRID,20,0.48958325,progress,0.48958325,0.48958325,2a7e18d34c29c0d72a184b51ebbbf6fcc79750e921bca27f65f96b4ed35f9b0c
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__HYBRID,20,-3.125,late_trigger_ticks,-3.125,-3.125,2a7e18d34c29c0d72a184b51ebbbf6fcc79750e921bca27f65f96b4ed35f9b0c
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__HYBRID,20,-3.16666667,wasted_triggers,-3.16666667,-3.16666667,2a7e18d34c29c0d72a184b51ebbbf6fcc79750e921bca27f65f96b4ed35f9b0c
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__HYBRID,20,-31.05725921,budget_cost_proxy,-31.05736899,-31.05714939,2a7e18d34c29c0d72a184b51ebbbf6fcc79750e921bca27f65f96b4ed35f9b0c
