seed,variant_id,correctness,adverse_composite,semantic_mutation_correctness,history_correctness,stale_action_rate,invalid_target_rate,repeated_failed_target_rate,unnecessary_scan_rate,failure_explanation_accuracy,context_facts_mean,context_bytes_mean,control_correctness
20263018,LIVE_EPISODIC,0.6666666666666666,0.2222222222222222,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,1.0,16.666666666666668,1422.3333333333333,1.0
20263018,LIVE_SEPARATE,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16.666666666666668,1423.0,1.0
20263019,FIXED_M5,0.25,0.3333333333333333,0.25,0.16666666666666666,0.0,1.0,0.0,0.08333333333333333,0.3333333333333333,16.0,1320.0,1.0
20263019,LIVE_SEMANTIC,0.6666666666666666,0.2222222222222222,0.6666666666666666,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,16.0,1321.6666666666667,1.0
20263019,LIVE_EPISODIC,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.5,0.0,1.0,0.0,0.08333333333333333,1.0,16.666666666666668,1422.0,1.0
20263019,LIVE_SEPARATE,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16.666666666666668,1423.6666666666667,1.0
20263020,FIXED_M5,0.4166666666666667,0.2222222222222222,0.4166666666666667,0.3333333333333333,0.0,0.6666666666666666,0.0,0.08333333333333333,0.3333333333333333,16.0,1315.0,1.0
20263020,LIVE_SEMANTIC,0.5833333333333334,0.3333333333333333,0.5833333333333334,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,16.0,1316.0,1.0
20263020,LIVE_EPISODIC,0.5833333333333334,0.2222222222222222,0.5833333333333334,0.6666666666666666,0.0,0.6666666666666666,0.0,0.08333333333333333,1.0,16.666666666666668,1420.3333333333333,1.0
20263020,LIVE_SEPARATE,0.8333333333333334,0.05555555555555555,0.8333333333333334,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0,1.0,16.666666666666668,1421.3333333333333,1.0
20263021,FIXED_M5,0.5,0.2222222222222222,0.5,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,16.0,1318.0,1.0
20263021,LIVE_SEMANTIC,0.5833333333333334,0.3333333333333333,0.5833333333333334,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,16.0,1319.3333333333333,1.0
20263021,LIVE_EPISODIC,0.6666666666666666,0.2222222222222222,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,1.0,16.666666666666668,1420.6666666666667,1.0
20263021,LIVE_SEPARATE,0.8333333333333334,0.05555555555555555,0.8333333333333334,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0,1.0,16.666666666666668,1422.0,1.0
20263022,FIXED_M5,0.25,0.3333333333333333,0.25,0.16666666666666666,0.0,1.0,0.0,0.08333333333333333,0.3333333333333333,16.0,1316.0,1.0
20263022,LIVE_SEMANTIC,0.6666666666666666,0.2222222222222222,0.6666666666666666,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,16.0,1317.6666666666667,1.0
20263022,LIVE_EPISODIC,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.5,0.0,1.0,0.0,0.08333333333333333,1.0,16.666666666666668,1418.0,1.0
20263022,LIVE_SEPARATE,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16.666666666666668,1419.6666666666667,1.0
20263023,FIXED_M5,0.25,0.3333333333333333,0.25,0.16666666666666666,0.0,1.0,0.0,0.08333333333333333,0.3333333333333333,16.0,1318.0,1.0
20263023,LIVE_SEMANTIC,0.25,0.3333333333333333,0.25,0.16666666666666666,0.0,1.0,0.0,0.08333333333333333,0.3333333333333333,16.0,1317.3333333333333,1.0
20263023,LIVE_EPISODIC,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.5,0.0,1.0,0.0,0.08333333333333333,1.0,16.666666666666668,1420.6666666666667,1.0
20263023,LIVE_SEPARATE,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.5,0.0,1.0,0.0,0.08333333333333333,1.0,16.666666666666668,1420.0,1.0
20263024,FIXED_M5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,1.0,0.0,0.0,0.3333333333333333,16.0,1314.0,1.0
20263024,LIVE_SEMANTIC,0.6666666666666666,0.2222222222222222,0.6666666666666666,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,16.0,1316.0,1.0
20263024,LIVE_EPISODIC,0.5,0.3333333333333333,0.5,0.5,0.0,1.0,0.0,0.0,1.0,16.666666666666668,1419.3333333333333,1.0
20263024,LIVE_SEPARATE,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16.666666666666668,1421.3333333333333,1.0
20263025,FIXED_M5,0.25,0.3333333333333333,0.25,0.16666666666666666,0.0,1.0,0.0,0.08333333333333333,0.3333333333333333,16.0,1316.0,1.0
20263025,LIVE_SEMANTIC,0.6666666666666666,0.2222222222222222,0.6666666666666666,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,16.0,1317.3333333333333,1.0
20263025,LIVE_EPISODIC,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.5,0.0,1.0,0.0,0.08333333333333333,1.0,16.666666666666668,1418.6666666666667,1.0
20263025,LIVE_SEPARATE,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16.666666666666668,1420.0,1.0
20263026,FIXED_M5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,1.0,0.0,0.0,0.3333333333333333,16.0,1316.0,1.0
20263026,LIVE_SEMANTIC,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,1.0,0.0,0.0,0.3333333333333333,16.0,1316.0,1.0
20263026,LIVE_EPISODIC,0.5,0.3333333333333333,0.5,0.5,0.0,1.0,0.0,0.0,1.0,16.666666666666668,1418.6666666666667,1.0
20263026,LIVE_SEPARATE,0.5,0.3333333333333333,0.5,0.5,0.0,1.0,0.0,0.0,1.0,16.666666666666668,1418.6666666666667,1.0
20263027,FIXED_M5,0.4166666666666667,0.2222222222222222,0.4166666666666667,0.3333333333333333,0.0,0.6666666666666666,0.0,0.08333333333333333,0.3333333333333333,16.0,1321.0,1.0
20263027,LIVE_SEMANTIC,0.5,0.2222222222222222,0.5,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,16.0,1319.6666666666667,1.0
20263027,LIVE_EPISODIC,0.5833333333333334,0.2222222222222222,0.5833333333333334,0.6666666666666666,0.0,0.6666666666666666,0.0,0.08333333333333333,1.0,16.666666666666668,1423.6666666666667,1.0
20263027,LIVE_SEPARATE,0.6666666666666666,0.2222222222222222,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,1.0,16.666666666666668,1422.3333333333333,1.0
20263028,FIXED_M5,0.25,0.3333333333333333,0.25,0.16666666666666666,0.0,1.0,0.0,0.08333333333333333,0.3333333333333333,16.0,1316.0,1.0
20263028,LIVE_SEMANTIC,0.6666666666666666,0.2222222222222222,0.6666666666666666,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,16.0,1317.3333333333333,1.0
