episode_id,seed,condition,controller,detection_correct,detection_present,localization_error_m,task_complete,collision_free,safe_completion,goal_error_m,obstacle_contacts,replans,retries,semantic_wakes,path_length_m,ticks
seed-5106-opaque-hierarchical,5106,OPAQUE,HIERARCHICAL,True,True,0.013294380316973005,True,True,True,0.09874260127230103,0,0,0,0,2.591320131588999,275
seed-5106-transparent-rgb_only,5106,TRANSPARENT,RGB_ONLY,False,False,,False,False,False,1.3307571555295565,264,0,0,0,1.1389589630604637,300
seed-5106-transparent-rgbd_motion,5106,TRANSPARENT,RGBD_MOTION,True,True,0.013294380316973005,True,True,True,0.09874260127230103,0,0,0,0,2.591320131588999,275
seed-5106-transparent-hierarchical,5106,TRANSPARENT,HIERARCHICAL,True,True,0.013294380316973005,True,True,True,0.09874260127230103,0,0,0,0,2.591320131588999,275
seed-5107-no_obstacle-rgb_only,5107,NO_OBSTACLE,RGB_ONLY,True,False,0.0,True,True,True,0.09788146927326927,0,0,0,0,2.3026952154447407,134
seed-5107-no_obstacle-rgbd_motion,5107,NO_OBSTACLE,RGBD_MOTION,True,False,0.0,True,True,True,0.09788146927326927,0,0,0,0,2.3026952154447407,134
seed-5107-no_obstacle-hierarchical,5107,NO_OBSTACLE,HIERARCHICAL,True,False,0.0,True,True,True,0.09788146927326927,0,0,0,0,2.3026952154447407,134
seed-5107-opaque-rgb_only,5107,OPAQUE,RGB_ONLY,True,True,0.007685729912661847,True,True,True,0.0982521600928612,0,0,0,0,2.5822309119002322,275
seed-5107-opaque-rgbd_motion,5107,OPAQUE,RGBD_MOTION,True,True,0.007685729912661847,True,True,True,0.0982521600928612,0,0,0,0,2.5822309119002322,275
seed-5107-opaque-hierarchical,5107,OPAQUE,HIERARCHICAL,True,True,0.007685729912661847,True,True,True,0.0982521600928612,0,0,0,0,2.5822309119002322,275
seed-5107-transparent-rgb_only,5107,TRANSPARENT,RGB_ONLY,False,False,,False,False,False,1.4090866178271158,267,0,0,0,1.0118990118922804,300
seed-5107-transparent-rgbd_motion,5107,TRANSPARENT,RGBD_MOTION,True,True,0.007685729912661847,True,True,True,0.0982521600928612,0,0,0,0,2.5822309119002322,275
seed-5107-transparent-hierarchical,5107,TRANSPARENT,HIERARCHICAL,True,True,0.007685729912661847,True,True,True,0.0982521600928612,0,0,0,0,2.5822309119002322,275
seed-5108-no_obstacle-rgb_only,5108,NO_OBSTACLE,RGB_ONLY,True,False,0.0,True,True,True,0.09789104586375334,0,0,0,0,2.3029957094055837,134
