comparison_metric,seed,member_count,cluster_mean,members_json
R3-R2:progress,20262105,12,4.3367938037016294e-08,"[5.11479103404433e-07,-6.54018183388061e-07,0.0,5.270820596647852e-07,0.0,0.0,0.0,0.0,1.9780182713979855e-08,4.3691803175427424e-08,4.432491296224583e-08,2.8075377911385146e-08]"
R3-R2:progress,20262106,12,2.7773080224502422e-09,"[-3.431113593244106e-08,-2.1164668617679183e-07,0.0,9.740665429802675e-08,0.0,0.0,0.0,0.0,8.527448447370745e-08,4.45242094304632e-08,2.199481152764804e-08,3.008535864879036e-08]"
R3-R2:progress,20262107,9,-3.6213036372048336e-08,"[3.725829547107651e-07,-6.99757880862073e-07,0.0,-8.506240323225e-08,0.0,0.0,4.9480035180238247e-08,1.0251798965299486e-08,2.658816788958518e-08]"
R3-R2:progress,20262108,11,1.522506572330813e-08,"[2.444483715446921e-07,-1.703972635214157e-07,0.0,-1.2334234822386492e-07,0.0,0.0,0.0,1.1501766350452414e-07,1.6700376859191124e-08,6.199602675671656e-08,2.3052896036546144e-08]"
R3-R2:progress,20262109,12,5.2003116414918914e-08,"[4.2805298139381165e-07,-2.6299305133647977e-07,0.0,3.733104407821486e-07,0.0,0.0,0.0,0.0,2.3539392879357024e-08,3.8043661887421365e-08,1.1645208242150318e-08,1.2438763130617758e-08]"
R3-R2:progress,20262110,10,-0.0882617254712021,"[1.2783508895886087e-07,1.8193819650846876e-07,0.0,5.681250936362403e-08,-0.8826177593228564,0.0,0.0,9.190928218494321e-08,2.4862482406184938e-08,2.1253275916954806e-08]"
R3-R2:total_wakes,20262101,12,-0.6666666666666666,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0]"
R3-R2:total_wakes,20262102,12,-0.6666666666666666,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0]"
R3-R2:total_wakes,20262103,10,-0.6,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0]"
R3-R2:total_wakes,20262104,11,-0.5454545454545454,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0]"
R3-R2:total_wakes,20262105,12,-0.6666666666666666,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0]"
R3-R2:total_wakes,20262106,12,-0.6666666666666666,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0]"
R3-R2:total_wakes,20262107,9,-0.6666666666666666,"[0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0]"
R3-R2:total_wakes,20262108,11,-0.7272727272727273,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0]"
R3-R2:total_wakes,20262109,12,-0.6666666666666666,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0]"
R3-R2:total_wakes,20262110,10,-0.5,"[0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,-2.0,-2.0]"
P4-P6:mission_success,20262101,12,-0.25,"[-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0]"
P4-P6:mission_success,20262102,12,-0.4166666666666667,"[-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0]"
P4-P6:mission_success,20262103,9,-0.3333333333333333,"[-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0]"
P4-P6:mission_success,20262104,11,-0.45454545454545453,"[-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0]"
P4-P6:mission_success,20262105,12,-0.3333333333333333,"[-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0]"
P4-P6:progress,20262101,12,-0.2239487103214565,"[-0.9442355699828375,-0.9999981566220386,-1.5554465052636246e-06,-1.1063784542963973e-06,-2.3756407458996875e-06,-0.7431215139651702,-4.991328146131124e-06,-3.167951969973437e-06,-3.4822444341386927e-06,-2.461560071220781e-06,-4.787473123046837e-06,-5.355263981376979e-06]"
P4-P6:progress,20262102,12,-0.3596509376951178,"[-0.964597321441846,-0.9999971408865586,-2.764662580090338e-06,-0.9496472772724166,-0.6942820025262725,-0.7072654536539144,-4.543380741628411e-06,2.5024671779227958e-08,-5.417244351879624e-06,-3.0779753164011936e-06,-2.69235961158909e-06,-3.585962475960436e-06]"
P4-P6:progress,20262103,9,-0.3224200285248866,"[-0.9507354656226518,-0.9999978876043285,-2.5003716879190563e-06,-0.9510306977499934,-2.4862713371431866e-06,-1.1012936370624615e-06,-2.286483468671996e-06,-4.530809425196125e-06,-3.300517450233187e-06]"
P4-P6:progress,20262104,11,-0.38738321190424435,"[-0.9498015530981404,-0.9999969953392711,-2.171118804961125e-06,-0.9388055320125758,-0.6772768122511301,-0.6953170961060406,-1.168825154662656e-06,-6.720707392826597e-07,-5.723364145393539e-06,-4.886109857604737e-06,-2.7206508275146035e-06]"
P4-P6:progress,20262105,12,-0.28274255801941023,"[-0.9641474694245681,-0.9999956504684703,-2.2707274088817897e-06,-4.39175827349203e-06,-0.7165538092020269,-0.7121872860235463,-1.5620144989680895e-06,-1.2825703942231925e-06,-3.3456083254890245e-06,-4.059843051740231e-06,-4.032580325441515e-06,-5.536012032014703e-06]"
